﻿Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;point_geographique
CE;13485;CE LANGUEDOC-ROUSSILLON;300;MENDE LUCIEN ARNAULT/00300;3B BOULEVARD LUCIEN ARNAULT;MENDE;48000;Interne;;CGE;Disponible;44.519302, 3.499554
CE;13485;CE LANGUEDOC-ROUSSILLON;348;CABESTANY/00348;1 AVENUE AMBROISE CROIZAT;CABESTANY;66330;Interne;;CGE;Disponible;42.693088, 2.931959
CE;13485;CE LANGUEDOC-ROUSSILLON;126;NIMES JEAN JAURES/00126;24 AVENUE JEAN JAURES;NIMES;30900;Interne;;UDV;Disponible;43.836145, 4.35015
BP;18707;BP VAL DE FRANCE;70;MAUREPAS/00070;2  ALLEE DE LA COTE D'OR;MAUREPAS;78311;Interne;Mar et Mer et Ven {09:00-12:30 13:45-18:00} Jeu {09:00-12:30 14:45-18:00} Sam {09:00-13:00};DVV;Disponible;
BP;18707;BP VAL DE FRANCE;571;SAINT DOULCHARD/00571;404 ROUTE D'ORLEANS;SAINT DOULCHARD;18230;Interne;Mar et Mer et Ven {08:30-12:30 13:45-17:45} Jeu {08:30-12:30 14:45-17:45} Sam {08:30-12:00};GAB;Hors service;47.108961, 2.378133
BP;18707;BP VAL DE FRANCE;63;MONTFORT L'AMAURY/00063;45 RUE DE PARIS;MONTFORT L'AMAURY;78490;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.778412, 1.809124
BP;18707;BP VAL DE FRANCE;780;BLOIS DENIS PAPIN/00780;7 RUE DENIS PAPIN;BLOIS;41000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};GAB;Disponible;47.586612, 1.33536
BP;18707;BP VAL DE FRANCE;780;BLOIS DENIS PAPIN/00780;7 RUE DENIS PAPIN;BLOIS;41000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.586612, 1.33536
BP;18707;BP VAL DE FRANCE;27;CHAVILLE/00027;1671AVENUE SALENGRO;CHAVILLE;92370;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.811775, 2.190113
BP;18707;BP VAL DE FRANCE;610;TOURS JEAN JAURES/00610;7  PLACE J JAURES;TOURS;37000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:30};DVV;Disponible;47.389672, 0.688568
BP;18707;BP VAL DE FRANCE;610;TOURS JEAN JAURES/00610;7  PLACE J JAURES;TOURS;37000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:30};GAB;Disponible;47.389672, 0.688568
BP;18707;BP VAL DE FRANCE;29;LE CHESNAY/00029;AVENUE CH.DE GAULLE;LE CHESNAY;78152;Interne;Mar et Mer et Ven {09:00-12:30 13:45-18:00} Jeu {09:00-12:30 14:45-18:00} Sam {09:00-12:30};DVV;Disponible;
BP;18707;BP VAL DE FRANCE;31;MONTIGNY THEATRE/00031;56 AVENUE DU CENTRE;MONTIGNY LE BRETONNEUX;78180;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.784111, 2.043473
BP;18707;BP VAL DE FRANCE;750;LOUDUN/00750;1 AVENUE DE LEUZE;LOUDUN;86200;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.010745, 0.083099
BP;18707;BP VAL DE FRANCE;18;SEVRES/00018;5 AVENUE DE L'EUROPE;SEVRES;92312;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;
BP;18707;BP VAL DE FRANCE;141;LIMAY/00141;36  RUE DE L'EGLISE;LIMAY;78520;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.995146, 1.732537
BP;18707;BP VAL DE FRANCE;690;CHINON/00690;94  QUAI JEANNE D'ARC;CHINON;37500;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};GAB;Disponible;47.165339, 0.243279
BP;18707;BP VAL DE FRANCE;622;TOURS LES HALLES/00622;PLACE GASTON PAILHOU;TOURS;37000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};GAB;Disponible;47.391547, 0.681062
BP;18707;BP VAL DE FRANCE;800;CHATEAUNEUF/LOIRE/00800;84 GRANDE RUE;CHATEAUNEUF/LOIRE;45110;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.863314, 2.222188
BP;18707;BP VAL DE FRANCE;800;CHATEAUNEUF/LOIRE/00800;84 GRANDE RUE;CHATEAUNEUF/LOIRE;45110;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.863314, 2.222188
BP;18707;BP VAL DE FRANCE;48;IGNY/00048;12 RUE G. PERI;IGNY;91430;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.743227, 2.226241
CE;13485;CE LANGUEDOC-ROUSSILLON;327;PERPIGNAN MOULIN A VENT/00327;52 AVENUE DU MARECHAL JUIN;PERPIGNAN;66100;SAS;TLJ {06:00-23:00};GDV;Disponible;42.68729, 2.9011
BP;18707;BP VAL DE FRANCE;240;LA FERTE SAINT AUBIN/00240;64  RUE GAL LECLERC;LA FERTE ST AUBIN;45240;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};GAB;Disponible;47.722107, 1.941387
BP;18707;BP VAL DE FRANCE;9;TRAPPES/00009;1 AVENUE J JAURES;TRAPPES;78190;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.776673, 2.003296
BP;18707;BP VAL DE FRANCE;212;INGRE/00212;8  PLACE DE LA MAIRIE;INGRE;45140;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.919787, 1.828586
BP;18707;BP VAL DE FRANCE;573;BOURGES LES GOULEVENTS/00573;102  AVENUE MARCEL HAEGELEN;BOURGES;18000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.07132, 2.378091
BP;18707;BP VAL DE FRANCE;701;DESCARTES/00701;13 BIS, RUE DU COMMERCE;DESCARTES;37160;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;46.973845, 0.698361
BP;18707;BP VAL DE FRANCE;701;DESCARTES/00701;13 BIS, RUE DU COMMERCE;DESCARTES;37160;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;46.973845, 0.698361
BP;18707;BP VAL DE FRANCE;783;SAINT GERVAIS LA PATTE D'OIE/00783;395 RUE GEORGES MELIES;SAINT GERVAIS LA FORET;41350;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Service dégradé;47.564941, 1.373079
BP;18707;BP VAL DE FRANCE;620;TOURS NATIONALE/00620;23  RUE NATIONALE;TOURS;37000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.394777, 0.686851
BP;18707;BP VAL DE FRANCE;781;MER/00781;5  PLACE DE LA HALLE;MER;41500;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.703636, 1.505971
BP;18707;BP VAL DE FRANCE;731;CHAUVIGNY/00731;6  RUE GEISENHEIM;CHAUVIGNY;86300;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};GAB;Disponible;46.569496, 0.64302
BP;18707;BP VAL DE FRANCE;310;SALBRIS/00310;30-32, BOULEVARD REPUBLIQUE;SALBRIS;41300;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.426011, 2.052862
BP;18707;BP VAL DE FRANCE;784;BLOIS SALAMANDRE/00784;1  RUE DU BOUT DES HAIES;BLOIS;41000;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.613428, 1.327009
BP;18707;BP VAL DE FRANCE;572;ST GERMAIN DU PUY/00572;28 ROUTE DE LA CHARITEPORTE DE ST GERMAIN DU PUY;ST GERMAIN DU PUY;18390;Interne;Mar et Mer et Ven {08:30-12:15 13:30-17:45} Jeu {08:30-12:15 14:30-17:45} Sam {08:15-12:30};DVV;Disponible;47.096614, 2.442851
BP;18707;BP VAL DE FRANCE;572;ST GERMAIN DU PUY/00572;28 ROUTE DE LA CHARITEPORTE DE ST GERMAIN DU PUY;ST GERMAIN DU PUY;18390;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.096614, 2.442851
CE;13485;CE LANGUEDOC-ROUSSILLON;208;BEZIERS MONTIMARAN/00208;CENTRE COMMERCIAL GEANT CASINOZAC DE MONTIMARAN;BEZIERS;34500;SAS;TLJ {08:30-22:00};DVV;Disponible;43.340829, 3.263823
CE;13485;CE LANGUEDOC-ROUSSILLON;208;BEZIERS MONTIMARAN/00208;CENTRE COMMERCIAL GEANT CASINOZAC DE MONTIMARAN;BEZIERS;34500;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.340829, 3.263823
CE;13485;CE LANGUEDOC-ROUSSILLON;208;BEZIERS MONTIMARAN/00208;CENTRE COMMERCIAL GEANT CASINOZAC DE MONTIMARAN;BEZIERS;34500;SAS;TLJ {08:30-22:00};GDV;Disponible;43.340829, 3.263823
CE;13485;CE LANGUEDOC-ROUSSILLON;208;BEZIERS MONTIMARAN/00208;CENTRE COMMERCIAL GEANT CASINOZAC DE MONTIMARAN;BEZIERS;34500;Interne;;UDV;Disponible;43.340829, 3.263823
CE;13485;CE LANGUEDOC-ROUSSILLON;164;BALARUC/00164;ROND POINT DE LA GARE;BALARUC-LES-BAINS;34540;Interne;;UDV;Disponible;
CE;13485;CE LANGUEDOC-ROUSSILLON;164;BALARUC/00164;ROND POINT DE LA GARE;BALARUC-LES-BAINS;34540;SAS;TLJ {06:00-23:00};GDV;Disponible;
BP;18707;BP VAL DE FRANCE;435;CHAPELLE SAINT MESMIN/00435;7 BIS RUE NATIONALE;LA CHAPELLE ST MESMIN;45380;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.890427, 1.839823
CE;13485;CE LANGUEDOC-ROUSSILLON;161;SETE GAMBETTA/00161;31 RUE GAMBETTA;SETE;34200;SAS;TLJ {06:00-23:00};GDV;Disponible;43.403583, 3.695374
CE;13485;CE LANGUEDOC-ROUSSILLON;160;SETE EUZET/00160;3 RUE HONORE EUZET;SETE;34200;Interne;;CGE;Disponible;43.404515, 3.699054
BP;18707;BP VAL DE FRANCE;30;JOUY-EN-JOSAS/00030;13 RUE OBERKAMPF;JOUY EN JOSAS;78350;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.763792, 2.167673
CE;13485;CE LANGUEDOC-ROUSSILLON;189;BEZIERS POINT MIL/00189;CENTRE COMMERCIAL BEZIERS 2;BEZIERS;34500;SAS;TLJ {08:30-22:00};DVV;Disponible;43.328633, 3.183274
CE;13485;CE LANGUEDOC-ROUSSILLON;189;BEZIERS POINT MIL/00189;CENTRE COMMERCIAL BEZIERS 2;BEZIERS;34500;SAS;TLJ {08:30-22:00};GDV;Disponible;43.328633, 3.183274
CE;13485;CE LANGUEDOC-ROUSSILLON;169;MARSEILLAN/00169;33 BOULEVARD LAMARTINE;MARSEILLAN;34340;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.355221, 3.527486
BP;18707;BP VAL DE FRANCE;790;SAINT AIGNAN/00790;17 , QUAI JACQUES DELORME;SAINT-AIGNAN;41110;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;47.269822, 1.376879
CE;13485;CE LANGUEDOC-ROUSSILLON;257;LA GRANDE MOTTE/00257;PLACE DES COSMONAUTES;LA GRANDE-MOTTE;34280;Interne;;UDV;Disponible;43.557795, 4.091411
CE;13485;CE LANGUEDOC-ROUSSILLON;252;CASTRIES/00252;9T AVENUE DE MONTPELLIER;CASTRIES;34160;Dans la rue;TLJ {00:00-23:59};GAB;Hors service;43.674102, 3.982312
CE;13485;CE LANGUEDOC-ROUSSILLON;271;MONTPELLIER LES CEVENNES/00271;1019 AVENUE LOUIS RAVAS;MONTPELLIER;34000;Interne;Mar au Ven {08:30-12:00 13:30-17:45} Sam {08:30-12:00};GDV;Disponible;43.622743, 3.844782
CE;13485;CE LANGUEDOC-ROUSSILLON;271;MONTPELLIER LES CEVENNES/00271;1019 AVENUE LOUIS RAVAS;MONTPELLIER;34000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.622743, 3.844782
CE;13485;CE LANGUEDOC-ROUSSILLON;336;AMELIE LES BAINS/00336;40 AVENUE DU VALLESPIR;AMELIE-LES-BAINS-PALALDA;66110;Interne;;UDV;Disponible;42.473707, 2.667806
CE;13485;CE LANGUEDOC-ROUSSILLON;598;MONTPELLIER AIGUELONGUE/00598;467 RUE DE LA ROQUETURIERE;MONTPELLIER;34000;Interne;;UDV;Disponible;43.616866, 3.880903
CE;13485;CE LANGUEDOC-ROUSSILLON;255;MONTAGNAC/00255;10 PLACE EMILE COMBES;MONTAGNAC;34530;Interne;;UDV;Disponible;43.480067, 3.484117
BP;18707;BP VAL DE FRANCE;541;VATAN/00541;14  PLACE REPUBLIQUE;VATAN;36150;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.071045, 1.809601
BP;18707;BP VAL DE FRANCE;75;BONNEVAL/00075;1 RUE HERISSON;BONNEVAL;28800;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.180826, 1.386742
BP;18707;BP VAL DE FRANCE;75;BONNEVAL/00075;1 RUE HERISSON;BONNEVAL;28800;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.180826, 1.386742
CE;13485;CE LANGUEDOC-ROUSSILLON;287;LUNEL PESCALUNE/00287;42 QUAI VOLTAIRE;LUNEL;34400;SAS;TLJ {06:00-23:00};GDV;Disponible;43.674349, 4.13216
CE;13485;CE LANGUEDOC-ROUSSILLON;287;LUNEL PESCALUNE/00287;42 QUAI VOLTAIRE;LUNEL;34400;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.674349, 4.13216
CE;13485;CE LANGUEDOC-ROUSSILLON;35;QUILLAN/00035;1 PLACE RAOUL DE VOLONTAT;QUILLAN;11500;Dans la rue;TLJ {00:00-23:59};GDV;Disponible;42.875281, 2.183676
BP;18707;BP VAL DE FRANCE;531;LEVROUX/00531;16  PLACE DE LA REPUBLIQUE;LEVROUX;36110;Interne;Mar et Mer et Ven {08:30-12:30 13:45-17:45} Jeu {08:30-12:30 14:45-17:45} Sam {08:30-12:00};GAB;Disponible;46.978656, 1.612142
BP;18707;BP VAL DE FRANCE;531;LEVROUX/00531;16  PLACE DE LA REPUBLIQUE;LEVROUX;36110;Interne;Mar et Mer et Ven {08:30-12:30 13:45-17:45} Jeu {08:30-12:30 14:45-17:45} Sam {08:30-12:00};DVV;Disponible;46.978656, 1.612142
CE;13485;CE LANGUEDOC-ROUSSILLON;520;JUVIGNAC/00520;ROUTE DE SAINT GEORGES D ORQUESPORTES DU SOLEIL LANGUEDOCIEN;JUVIGNAC;34990;SAS;TLJ {08:30-22:00};GAB;Disponible;
BP;18707;BP VAL DE FRANCE;550;ARGENTON SUR CREUSE/00550;19  RUE GAMBETTA;ARGENTON-SUR-CREUSE;36200;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;46.58955, 1.518597
CE;13485;CE LANGUEDOC-ROUSSILLON;242;MONTPELLIER PREFECTURE/00242;5 PLACE DES MARTYRS DE LA RESISTANCE;MONTPELLIER;34000;SAS;TLJ {06:00-23:00};GDV;Disponible;43.610576, 3.876419
CE;13485;CE LANGUEDOC-ROUSSILLON;27;CARCASSONNE MERIDIEN/00027;2 RUE ANDRE CITROEN;CARCASSONNE;11000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.218818, 2.343546
CE;13485;CE LANGUEDOC-ROUSSILLON;27;CARCASSONNE MERIDIEN/00027;2 RUE ANDRE CITROEN;CARCASSONNE;11000;Interne;;UDV;Disponible;43.218818, 2.343546
CE;13485;CE LANGUEDOC-ROUSSILLON;74;ANDUZE/00074;PLAN DE BRIE;ANDUZE;30140;Interne;;UDV;Disponible;44.05373, 3.986358
CE;13485;CE LANGUEDOC-ROUSSILLON;328;PERPIGNAN JOFFRE/00328;182 AVENUE DU MARECHAL JOFFRE;PERPIGNAN;66000;SAS;TLJ {06:00-23:00};GDV;Disponible;42.714249, 2.888833
BP;18707;BP VAL DE FRANCE;15;RUEIL-MAIRIE/00015;10  RUE DE MAUREPAS;RUEIL MALMAISON;92500;Interne;Mar et Mer et Ven {09:00-12:30 13:45-18:00} Jeu {09:00-12:30 14:45-18:00} Sam {09:00-12:30};DVV;Disponible;48.878579, 2.181585
CE;13485;CE LANGUEDOC-ROUSSILLON;47;NARBONNE FERROUL/00047;2 BOULEVARD DU DOCTEURUE FERROUL;NARBONNE;11100;SAS;TLJ {06:00-23:00};DVV;Disponible;43.1804, 3.003874
CE;13485;CE LANGUEDOC-ROUSSILLON;47;NARBONNE FERROUL/00047;2 BOULEVARD DU DOCTEURUE FERROUL;NARBONNE;11100;SAS;TLJ {06:00-23:00};GDV;Disponible;43.1804, 3.003874
CE;13485;CE LANGUEDOC-ROUSSILLON;120;LE GRAU DU ROI/00120;BOULEVARD DU FRONT DE MER;LE GRAU-DU-ROI;30240;SAS;TLJ {06:00-23:00};GAB;Disponible;43.535168, 4.137982
CE;13485;CE LANGUEDOC-ROUSSILLON;309;LA CANOURGUE/00309;PLACE DU PORTALOU;LA CANOURGUE;48500;Interne;;UDV;Disponible;44.431864, 3.21556
BP;18707;BP VAL DE FRANCE;6;LA LOUPE/00006;13  PLACE DE L'HOTEL DE VILLE;LA LOUPE;28240;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.471589, 1.013503
BP;18707;BP VAL DE FRANCE;6;LA LOUPE/00006;13  PLACE DE L'HOTEL DE VILLE;LA LOUPE;28240;Interne;Mar et Mer et Ven {08:45-12:30 13:45-18:00} Jeu {08:45-12:30 14:45-18:00} Sam {08:45-12:15};DVV;Disponible;48.471589, 1.013503
CE;13485;CE LANGUEDOC-ROUSSILLON;57;CASTELNAUDARY/00057;19 COURS DE LA REPUBLIQUE;CASTELNAUDARY;11400;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.3171, 1.95214
BP;18707;BP VAL DE FRANCE;532;DEOLS/00532;75  AVENUE GAL DE GAULLE;DEOLS;36130;Interne;Mar et Mer et Ven {08:30-12:30 13:45-17:45} Jeu {08:30-12:30 14:45-17:45} Sam {08:30-12:00};DVV;Disponible;46.828018, 1.701108
BP;18707;BP VAL DE FRANCE;7;NOGENT-ROTROU/00007;51 RUE VILLETTE GATE;NOGENT LE ROTROU;28400;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.321487, 0.822036
BP;16807;BP AUVERGNE RHONE ALPES;476;BRON ROOSEVELT/00476;192 RUE F ROOSEVELT;BRON;69500;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.732135, 4.912661
CE;14445;CE BRETAGNE-PAYS DE LOIRE;145;SAINT SEBASTIEN/00145;30 RUE MAURICE DANIEL;SAINT-SEBASTIEN-SUR-LOIRE;44230;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.206366, -1.506956
CE;14445;CE BRETAGNE-PAYS DE LOIRE;275;BAUGE/00275;17 RUE VICTORUE HUGO;BAUGE-EN-ANJOU;49150;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;47.541396, -0.10372
CE;14445;CE BRETAGNE-PAYS DE LOIRE;327;DURTAL/00327;6 RUE DE LA MAIRIE;DURTAL;49430;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.671047, -0.243596
CE;14445;CE BRETAGNE-PAYS DE LOIRE;168;REZE AGORA/00168;1 RUE VICTORUE HUGO;REZE;44400;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GAB;Disponible;47.188854, -1.551664
CE;14445;CE BRETAGNE-PAYS DE LOIRE;503;LA ROCHE SUR YON THEATRE/00503;6 RUE SALVADORUE ALLENDE;LA ROCHE-SUR-YON;85000;Interne;Mar au Ven {10:00-12:30 14:00-19:00} Sam {09:30-12:30};GDM;Service dégradé;46.670722, -1.428889
CE;14445;CE BRETAGNE-PAYS DE LOIRE;545;LES SABLES D OLONNE CASTELNAU/00545;71 BOULEVARD DE CASTELNAU;LES SABLES-D'OLONNE;85100;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;46.494268, -1.775446
CE;14445;CE BRETAGNE-PAYS DE LOIRE;412;CRAON/00412;2 PROMENADE CHARLES DE GAULLE;CRAON;53400;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.847366, -0.948082
CE;14445;CE BRETAGNE-PAYS DE LOIRE;366;LE MAY SUR EVRE/00366;2 RUE SAINT MICHEL;LE MAY-SUR-EVRE;49122;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.138144, -0.892441
CE;14445;CE BRETAGNE-PAYS DE LOIRE;104;SAINT NAZAIRE BERLIOZ/00104;2 AVENUE HECTORUE BERLIOZ;SAINT-NAZAIRE;44600;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;47.264113, -2.234673
CE;14445;CE BRETAGNE-PAYS DE LOIRE;337;LE LION D'ANGERS/00337;38 RUE DU GENERAL LECLERC;LE LION-D'ANGERS;49220;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.62786, -0.714557
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22155;PERROS GUIREC/22155;1 BOULEVARD CLEMENCEAU;PERROS-GUIREC;22700;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;48.81602, -3.444133
CE;14445;CE BRETAGNE-PAYS DE LOIRE;547;TALMONT ST HILAIRE/00547;1 AVENUE DES SABLES;TALMONT-SAINT-HILAIRE;85440;Dans la rue;TLJ {00:00-23:59};GDM;Disponible;46.465357, -1.619429
CE;14445;CE BRETAGNE-PAYS DE LOIRE;125;GUERANDE/00125;RUE DE LA FUIE ZAC DE VILLEJAMES;GUERANDE;44350;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.325732, -2.413717
CE;14445;CE BRETAGNE-PAYS DE LOIRE;211;NANTES PONT DU CENS/00211;76 ROUTE DE RENNES;NANTES;44000;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;47.230916, -1.530744
CE;14445;CE BRETAGNE-PAYS DE LOIRE;513;LA MOTHE ACHARD/00513;75 AVENUE GEORGES CLEMENCEAU;LA MOTHE-ACHARD;85150;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;46.617218, -1.658219
CE;14445;CE BRETAGNE-PAYS DE LOIRE;570;LE MANS ETOILE/00570;28 RUE JANKOWSKI;LE MANS;72100;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;47.990973, 0.193249
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22137;PLOUFRAGAN/22137;2 RUE DE L'ETACHE;PLOUFRAGAN;22440;Dans la rue;TLJ {00:00-23:59};GDM;Disponible;48.493639, -2.777002
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22010;GUIPAVAS/22010;1 RUE DE BREST;GUIPAVAS;29490;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.434021, -4.401854
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22077;MOELAN SUR MER/22077;5 RUE DES ECOLES;MOELAN-SUR-MER;29350;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.814095, -3.628188
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22019;GOUESNOU/22019;15 PLACE DES FUSILLE;GOUESNOU;29850;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GAB;Disponible;48.4503, -4.465344
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22020;BREST LAMBEZELLEC/22020;8 RUE ROBESPIERRE;BREST;29200;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Hors service;48.414386, -4.491768
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22027;ST RENAN/22027;8 RUE JOSEPH LE VELLY;SAINT-RENAN;29290;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.434941, -4.621153
BP;10548;BANQUE DE SAVOIE;1590;VAL THORENS/01590;CENTRE COMMERCIAL PECLETVAL THORENS;LES BELLEVILLE;73440;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.303308, 6.557857
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22043;MORLAIX LA BOISSIERE/22043;CENTRE COMMERCIALLA BOISSIERE;MORLAIX;29600;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;48.585773, -3.821963
BP;10548;BANQUE DE SAVOIE;100;ST ALBAN LEYSSE/00100;87 AVENUE DE CHAMBERYIMMEUBLE LE ZENITH;SAINT ALBAN LEYSSE;73230;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;45.573659, 5.950419
BP;10548;BANQUE DE SAVOIE;4000;BELLEGARDE/04000;6  RUE LAMARTINE;BELLEGARDE;1200;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22054;ST POL DE LEON/22054;8 PLACE DE GUEBRIANT;SAINT-POL-DE-LEON;29250;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.684506, -3.98699
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22050;PLOUESCAT/22050;21 RUE DU GENERAL LELERC;PLOUESCAT;29430;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GAB;Disponible;48.656828, -4.175686
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22082;QUIMPER LES 4 VENTS/22082;3 RUE DU DAUPHINE;QUIMPER;29000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.986278, -4.128012
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22081;QUIMPER GOURVILY/22081;43 ROUTE DU LOCH;QUIMPER;29000;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};GDM;Disponible;48.013769, -4.088008
